Zone;Produit;Origine;Disponibilité alimentaire (Kcal/personne/jour);Disponibilité alimentaire en quantité (kg/personne/an);Disponibilité de matière grasse en quantité (g/personne/jour);Disponibilité de protéines en quantité (g/personne/jour);Disponibilité intérieure;Aliments pour animaux;Autres Utilisations;Exportations - Quantité;Importations - Quantité;Nourriture;Pertes;Production;Semences;Traitement;Variation de stock
Nouvelle-Zélande;Bananes plantains;vegetale;8;3.92;0.03;0.09;18;;;;18;18;;;;;
Nouvelle-Zélande;Café;vegetale;5;4.05;;0.51;18;;;3;22;18;;;;;
Nouvelle-Zélande;Céréales, Autres;vegetale;33;3.82;0.13;0.84;18;0;;1;6;17;;13;0;;0
Nouvelle-Zélande;Huil Plantes Oleif Autr;vegetale;6;0.29;0.71;0.01;18;;16;1;16;1;;2;;0;0
Népal;Poissons Pelagiques;animale;0;0.01;0;0;18;17;0;;18;0;;;;;
Népal;Viande de Suides;animale;7;0.67;0.63;0.2;18;;;0;0;19;;19;;;
Oman;Huile de Soja;vegetale;18;0.73;2.01;;18;;15;0;18;3;;;;;0
Pakistan;Huile d'Arachide;vegetale;2;0.1;0.26;;18;;;0;0;18;;18;;;
Pays-Bas;Thé;vegetale;1;1.1;;0.24;18;;;23;41;18;;;;;0
Rwanda;Huil Plantes Oleif Autr;vegetale;3;0.11;0.31;0;18;;17;4;21;1;;;;;1
Rwanda;Orge;vegetale;0;0.06;;0.01;18;;;0;18;1;;0;0;17;0
République de Corée;Huile de Tournesol;vegetale;9;0.37;1.01;;18;;;0;18;18;;;;;
République de Corée;Épices, Autres;vegetale;3;0.36;0.07;0.09;18;;;0;13;18;;5;;;
République de Moldova;Boissons Alcooliques;vegetale;41;5.03;;;18;;;26;12;18;;31;;;0
République de Moldova;Edulcorants Autres;vegetale;31;5.23;;;18;;;1;6;18;;13;;;
République démocratique populaire lao;Légumineuses Autres;vegetale;23;2.43;0.13;1.46;18;;;;0;16;0;18;1;;
Saint-Vincent-et-les Grenadines;Sucre, canne;vegetale;;;;;18;;;;;;;18;;18;
Sainte-Lucie;Blé;vegetale;676;91.02;2.23;18.83;18;;1;0;18;17;1;;;;1
Slovaquie;Huile de Palme;vegetale;;;;;18;;18;1;19;;;;;;0
Slovaquie;Perciform;animale;4;3.27;0.12;0.61;18;;0;1;19;18;;;;;
Slovénie;Crème;animale;45;8.47;4.48;0.63;18;;;1;2;18;;17;;;
Soudan;Edulcorants Autres;vegetale;5;0.48;;;18;;;0;18;18;;;;;
Soudan;Maïs;vegetale;4;0.4;0.02;0.04;18;2;;62;36;15;;43;0;;0
Suisse;Boissons Fermentés;vegetale;3;2.22;;0.01;18;;;0;7;18;;11;;;
Suriname;Oranges, Mandarines;vegetale;22;30.33;0.08;0.41;18;;;0;1;16;2;18;;;0
Suède;Viande, Autre;animale;7;1.93;0.29;0.96;18;;;7;4;18;;21;;0;0
Togo;Huil Plantes Oleif Autr;vegetale;12;0.49;1.34;0;18;;17;11;30;3;;0;;;-1
Togo;Oranges, Mandarines;vegetale;2;2.41;0.02;0.02;18;;;0;4;16;1;15;;;
Togo;Poissons Pelagiques;animale;5;2.52;0.16;0.74;18;1;0;1;4;17;;15;;;
Trinité-et-Tobago;Pommes;vegetale;8;13.57;0.03;0.03;18;;;1;19;18;0;;;;
Uruguay;Citrons & Limes;vegetale;1;4.43;0.02;0.03;18;;;24;2;15;3;33;;;8
Venezuela (République bolivarienne du);Pois;vegetale;5;0.57;0.03;0.35;18;;;0;17;17;0;0;0;;0
Zimbabwe;Graisses Animales Crue;animale;25;1.19;2.77;0.03;18;;2;0;11;17;;7;;0;0
Égypte;Huile d'Arachide;vegetale;5;0.22;0.61;;18;;;0;0;18;;18;;;
Égypte;Pois;vegetale;2;0.21;0.01;0.14;18;;;3;21;17;1;0;0;;0
Émirats arabes unis;Haricots;vegetale;18;1.92;0.09;1.16;18;;;7;25;18;;;;;0
Éthiopie;Beurre, Ghee;animale;4;0.19;0.51;0;18;;;0;0;18;;18;;;
Chine continentale;Blé;vegetale;2929;549;63.36;2.92;17.53;26628;125247;563;5666;87783;2990;121926;4600;316;-1783
Afrique du Sud;Huil Plantes Oleif Autr;vegetale;2;0.07;0.18;0;17;;11;13;20;4;;8;;2;2
Afrique du Sud;Noix;vegetale;2;0.33;0.2;0.06;17;;;35;20;17;;28;;;5
Algérie;Perciform;animale;0;0.42;0.01;0.09;17;;0;0;5;17;;12;;;
Algérie;Poissons Marins, Autres;animale;1;0.43;0.03;0.12;17;;0;;0;17;;17;;;
Allemagne;Haricots;vegetale;1;0.1;0;0.06;17;8;;8;24;8;0;0;0;;
Allemagne;Poivre;vegetale;2;0.21;0.02;0.06;17;;;13;31;17;;;;;
Angola;Huil Plantes Oleif Autr;vegetale;17;0.71;1.9;0.01;17;;2;0;15;15;;2;;;0
Angola;Huile d'Arachide;vegetale;19;0.77;2.11;;17;;;0;0;17;;32;;;-15
Arabie saoudite;Alcool, non Comestible;vegetale;;;;;17;;17;0;17;;;;;;
Arabie saoudite;Arachides Decortiquees;vegetale;7;0.47;0.63;0.33;17;;;1;16;13;;1;;3;
Arabie saoudite;Huile de Soja;vegetale;14;0.58;1.58;;17;;;86;18;17;;85;;;0
Arabie saoudite;Olives;vegetale;2;0.58;0.18;0.02;17;;;0;17;17;0;;;;
Arménie;Abats Comestible;animale;14;4.59;0.39;2.25;17;;3;0;2;14;0;15;;;
Azerbaïdjan;Poissons Pelagiques;animale;4;1.76;0.2;0.53;17;;0;0;17;17;;;;;0
Barbade;Légumes, Autres;vegetale;49;58.81;0.37;2.27;17;;;0;9;17;0;9;;;0
Belgique;Millet;vegetale;;;;;17;17;;4;21;;;;;;
Bosnie-Herzégovine;Oeufs;animale;17;4.49;1.21;1.32;17;;;4;1;17;;21;1;;
Bulgarie;Olives;vegetale;7;2.24;0.68;0.07;17;;;7;24;16;1;;;;
Bénin;Huile d'Arachide;vegetale;40;1.64;4.49;;17;;;0;8;17;;9;;;0
Bénin;Orge;vegetale;0;0;;0;17;;;0;17;0;;;;17;0
Bénin;Pommes;vegetale;2;1.65;0.01;0.01;17;;;0;17;17;;;;;
Cabo Verde;Pommes de Terre;vegetale;57;31.34;0.07;1.19;17;;0;0;9;16;1;8;1;;
Cabo Verde;Sucre Eq Brut;vegetale;179;17.91;;;17;;8;0;20;9;;;;;-3
Chili;Abats Comestible;animale;3;0.96;0.08;0.5;17;;;47;1;17;;60;;;3
Chine - RAS de Hong-Kong;Céréales, Autres;vegetale;15;2.37;0.04;0.4;17;0;;21;38;17;0;;;;0
Chine - RAS de Hong-Kong;Viande d'Ovins/Caprins;animale;14;2.22;1.22;0.77;17;;1;1;18;16;;0;;;
Colombie;Vin;vegetale;1;0.35;;;17;;;0;17;17;;;;;0
Congo;Maïs;vegetale;34;3.65;0.36;0.88;17;;0;;3;16;1;14;0;0;0
Costa Rica;Racines nda;vegetale;12;4.21;0.03;0.19;17;;;17;0;20;;34;;;
Cuba;Vin;vegetale;3;1.55;;;17;;;0;6;17;;12;;;
Danemark;Huile de Soja;vegetale;60;2.52;6.72;0.05;17;;3;11;28;14;;0;;0;0
Finlande;Huile de Colza&Moutarde;vegetale;1;0.05;0.14;0;17;;17;74;11;0;;80;;0;0
Finlande;Perciform;animale;5;3.08;0.25;0.73;17;;0;0;16;17;;1;;;
France;Thé;vegetale;0;0.27;;0.07;17;;;5;22;17;;;;;
Gabon;Arachides Decortiquees;vegetale;134;8.92;10.95;5.67;17;;;0;0;15;1;17;1;;0
Gabon;Bananes;vegetale;15;9.23;0.02;0.25;17;;;;0;15;2;17;;;
Gabon;Viande de Suides;animale;72;10.36;6.67;2.79;17;;;0;14;17;;3;;;0
Grèce;Miel;vegetale;13;1.55;;0.02;17;;0;2;3;17;;16;;;
Guatemala;Avoine;vegetale;6;1.09;0.1;0.26;17;0;;7;24;17;;;;;
Guinée-Bissau;Sucre Eq Brut;vegetale;100;10.1;;;17;;;0;9;17;;;;;9
Haïti;Arachides Decortiquees;vegetale;22;1.48;1.81;1.05;17;;;;0;15;1;17;1;;
Indonésie;Huiles de Poissons;animale;0;0;0;0;17;17;0;0;11;0;;6;;;
Iraq;Sucre, betterave;vegetale;;;;;17;15;;0;0;;;17;;2;
Islande;Légumes, Autres;vegetale;41;50.2;0.37;1.83;17;;;0;14;17;0;3;;;0
Israël;Alcool, non Comestible;vegetale;;;;;17;;17;0;17;;;;;;
Israël;Huile d'Olive;vegetale;52;2.15;5.9;;17;;1;0;4;17;;14;;;0
Jamaïque;Manioc;vegetale;6;2.18;0.01;0.03;17;9;3;0;0;6;;17;;;
Jordanie;Huile de Germe de Maïs;vegetale;55;2.27;6.23;;17;;;1;17;17;;;;;0
Kenya;Citrons & Limes;vegetale;0;0.38;0;0.01;17;;;0;1;17;;16;;;
Kirghizistan;Graisses Animales Crue;animale;22;1.1;2.44;0.02;17;;10;0;6;6;;10;;;0
Koweït;Noix;vegetale;30;5.14;2.66;0.87;17;;;1;19;17;0;;;;0
Lettonie;Oignons;vegetale;7;7.8;0.04;0.24;17;;;3;10;16;1;10;;;
Liban;Ananas;vegetale;4;3.55;0.01;0.03;17;;;0;17;17;;;;;0
Liban;Arachides Decortiquees;vegetale;17;1.13;1.42;0.75;17;;;0;10;5;0;7;0;11;
Libéria;Viande de Suides;animale;32;4.01;2.97;1.15;17;;;;7;17;;10;;;
Lituanie;Raisin;vegetale;6;3.11;0.01;0.07;17;;0;38;55;9;;;;8;0
Luxembourg;Raisin;vegetale;4;2.03;0.01;0.04;17;;;0;3;1;2;13;;14;0
Madagascar;Orge;vegetale;0;0;;;17;0;;0;17;0;;;;17;0
Mali;Sésame;vegetale;17;1.1;1.49;0.53;17;;;18;0;17;;35;0;;0
Malte;Bière;vegetale;49;36.32;;0.5;17;;2;1;7;16;;11;;;
Maroc;Feve de Cacao;vegetale;4;0.52;0.33;0.11;17;;;1;18;17;;;;;0
Mexique;Pois;vegetale;1;0.13;0.01;0.07;17;;;0;15;16;1;2;0;;
Mozambique;Abats Comestible;animale;2;0.67;0.07;0.32;17;;;;1;17;;16;;;
Mozambique;Graines de tournesol;vegetale;;;;;17;;;0;0;;;18;0;17;0
Mozambique;Orge;vegetale;0;0.04;;0;17;;;;17;1;;;;16;0
Nicaragua;Boissons Alcooliques;vegetale;22;2.72;;;17;;;12;2;17;;26;;;
Nicaragua;Orge;vegetale;0;0;0;0;17;0;;0;17;0;;;;17;0
Nouvelle-Zélande;Huile de Soja;vegetale;63;2.61;7.16;0;17;;5;0;14;12;;;;;3
Nouvelle-Zélande;Patates douces;vegetale;7;3.33;0.02;0.11;17;;;0;0;15;;17;2;;
Népal;Agrumes, Autres;vegetale;0;0.6;0;0.01;17;;;0;11;17;;6;;;
Népal;Coco (Incl Coprah);vegetale;2;0.6;0.23;0.02;17;;;0;16;17;;1;;0;
Oman;Boissons Alcooliques;vegetale;;;;;17;;17;0;17;;;;;;
Pakistan;Poissons Marins, Autres;animale;0;0;0;0;17;17;0;1;0;0;;19;;;
Pays-Bas;Patates douces;vegetale;2;0.9;0;0.02;17;;;15;32;15;2;;;;0
Philippines;Viande, Autre;animale;1;0.17;0.04;0.09;17;;;0;1;17;;17;;;
Pologne;Thé;vegetale;0;0.45;;0.11;17;;;21;38;17;;;;;0
Portugal;Poissons Marins, Autres;animale;3;1.62;0.07;0.51;17;;0;26;43;17;;0;;;0
Pérou;Huiles de Poissons;animale;0;0;0;0;17;0;17;234;5;0;;336;;;-90
Roumanie;Miel;vegetale;6;0.78;;0.01;17;;;13;3;17;;27;;;
Royaume-Uni;Crème;animale;1;0.27;0.14;0.02;17;;;44;22;17;;40;;;0
Royaume-Uni;Dattes;vegetale;1;0.26;0;0.01;17;;;1;18;16;1;;;;
Royaume-Uni;Huiles de Poissons;animale;0;0;0;0;17;5;12;5;12;0;;10;;;
Rwanda;Poissons Eau Douce;animale;3;1.48;0.1;0.44;17;;0;0;0;17;;17;;;
Rwanda;Viande, Autre;animale;4;1.45;0.14;0.71;17;;;;0;17;;17;;;
République centrafricaine;Viande de Suides;animale;32;3.7;2.94;1.17;17;;;;0;17;;17;;;
République démocratique populaire lao;Oeufs;animale;8;2.04;0.55;0.6;17;;;;0;14;1;17;2;;
République populaire démocratique de Corée;Noix;vegetale;3;0.61;0.14;0.1;17;;;5;;15;2;22;;;
Sierra Leone;Oignons;vegetale;3;2.81;0.01;0.08;17;;;;17;17;;;;;
Slovaquie;Poissons Pelagiques;animale;8;2.82;0.4;1.02;17;1;0;1;18;15;;;;;
Slovénie;Oignons;vegetale;6;7.27;0.04;0.22;17;;;4;15;15;2;6;;;
Suède;Graines de tournesol;vegetale;;;;;17;;;3;20;;;;;17;
Sénégal;Edulcorants Autres;vegetale;9;1.17;;;17;;;1;17;17;;;;;0
Sénégal;Viande, Autre;animale;3;1.19;0.13;0.51;17;;;0;0;17;;17;;;0
Togo;Lait - Excl Beurre;animale;10;7.96;0.3;0.73;17;;1;70;74;54;1;13;;;0
Yémen;Café;vegetale;1;0.7;;0.12;17;;;3;0;17;;20;;;0
Émirats arabes unis;Poivre;vegetale;1;0.2;0.01;0.06;17;;15;1;18;2;;;;;
Afghanistan;Edulcorants Autres;vegetale;2;0.53;;;16;;;;16;16;;;;;
Afghanistan;Huile de Soja;vegetale;13;0.53;1.46;;16;;;;16;16;;;;;
Afrique du Sud;Plantes Oleiferes, Autre;vegetale;0;0;0;0;16;0;1;17;4;0;0;23;0;14;7
Bangladesh;Viande, Autre;animale;0;0.1;0;0.06;16;;;0;0;16;;16;;;
Barbade;Bière;vegetale;50;51.17;;0.42;16;;2;1;9;15;;8;;;0
Belgique;Bananes plantains;vegetale;3;1.46;0.01;0.03;16;;;36;52;16;;;;;0
Belize;Viande de Volailles;animale;121;28.31;9.16;9.13;16;;7;0;0;9;;16;;;
Botswana;Viande de Bovins;animale;35;7.85;2.4;3.1;16;;;36;3;16;;49;;;0
Bulgarie;Huil Plantes Oleif Autr;vegetale;13;0.48;1.41;0.01;16;;12;7;19;3;;5;;0;0
Bénin;Oranges, Mandarines;vegetale;1;1.4;0.01;0.01;16;;;0;2;14;1;14;;;
Cabo Verde;Bière;vegetale;39;32.74;;0.45;16;;;0;6;16;;8;;;2
Cameroun;Café;vegetale;1;0.67;;0.12;16;;0;27;1;15;1;42;;;0
Cameroun;Oeufs;animale;1;0.4;0.09;0.11;16;;;0;0;9;2;16;6;;
Canada;Cephalopodes;animale;0;0.06;0;0.02;16;14;0;0;16;2;;0;0;;0
Canada;Huile de Coco;vegetale;5;0.26;0.57;0;16;;7;5;21;9;;;;;0
Canada;Ignames;vegetale;1;0.45;0;0.02;16;;;;16;16;;;;;
Chine - RAS de Macao;Fruits, Autres;vegetale;28;27.73;0.2;0.3;16;0;0;0;16;16;;;;1;0
Colombie;Céréales, Autres;vegetale;1;0.07;0;0.02;16;12;;0;16;3;;;;;0
Congo;Ignames;vegetale;9;3.14;0.02;0.11;16;;;;0;14;2;16;;;
Croatie;Huile de Palme;vegetale;40;1.66;4.52;0.03;16;;9;9;26;7;;;;;-1
Croatie;Perciform;animale;4;3.7;0.12;0.76;16;;0;5;11;16;;10;;;
Cuba;Poissons Pelagiques;animale;3;1.16;0.13;0.36;16;3;0;0;13;13;;3;;;
Côte d'Ivoire;Café;vegetale;1;0.74;;0.08;16;;1;95;1;15;;104;;;6
Espagne;Coco (Incl Coprah);vegetale;1;0.35;0.12;0.01;16;;;7;23;16;;;;0;1
Estonie;Pois;vegetale;82;8.6;0.42;5.3;16;2;;16;1;11;;31;2;;0
France;Huiles de Poissons;animale;6;0.25;0.69;0;16;0;0;17;27;16;;6;;;0
Gabon;Tomates;vegetale;6;9.82;0.07;0.28;16;;;0;16;16;;1;;;
Gambie;Tomates;vegetale;6;8.78;0.07;0.27;16;;;17;33;16;;;;;
Grenade;Blé;vegetale;457;59.59;1.5;12.41;16;4;5;1;18;6;1;;;;-1
Géorgie;Céréales, Autres;vegetale;27;3.65;0.1;0.69;16;0;;0;9;16;;7;;;0
Géorgie;Haricots;vegetale;;;;;16;15;;0;5;;1;11;;;
Haïti;Abats Comestible;animale;4;1.46;0.12;0.73;16;1;;0;5;15;;11;;;
Haïti;Poissons Marins, Autres;animale;3;1.55;0.1;0.46;16;;0;0;2;16;;15;;;
Honduras;Coco (Incl Coprah);vegetale;5;1.32;0.45;0.06;16;;;0;1;11;;15;;5;
Honduras;Orge;vegetale;0;0.05;;0.01;16;0;;0;16;0;;;;16;
Hongrie;Abats Comestible;animale;5;1.46;0.15;0.76;16;;0;38;29;15;1;24;;;0
Hongrie;Huile de Soja;vegetale;38;1.59;4.35;;16;;;0;3;16;;13;;;0
Iran (République islamique d');Huile de Sésame;vegetale;5;0.2;0.56;;16;;;0;0;16;;16;;;
Italie;Miel;vegetale;2;0.27;;0;16;;;12;18;16;;10;;;
Italie;Patates douces;vegetale;1;0.25;0;0;16;1;;5;14;16;0;6;;;0
Jamaïque;Piments;vegetale;49;5.65;2.68;1.86;16;;;0;0;16;;16;;;0
Japon;Pois;vegetale;1;0.12;0;0.07;16;;;0;15;15;0;1;0;;
Kazakhstan;Crème;animale;5;0.95;0.5;0.07;16;;;0;1;16;;15;;;
Koweït;Ananas;vegetale;5;4.63;0.01;0.04;16;;;0;16;16;;;;;0
Koweït;Poissons Pelagiques;animale;11;4.6;0.59;1.35;16;0;0;0;15;16;;1;;;0
Libéria;Maïs;vegetale;0;0.04;0;0.01;16;16;;;16;0;;;;;0
Lituanie;Café;vegetale;7;5.43;;0.74;16;;;14;30;16;;;;;0
Lituanie;Crème;animale;28;5.15;2.73;0.38;16;;;46;1;16;;61;;;
Luxembourg;Viande de Bovins;animale;157;29.88;11.69;12.02;16;;;2;10;16;;8;;;0
Macédoine du Nord;Olives;vegetale;13;3.22;1.31;0.11;16;;;1;4;7;;13;;9;0
Macédoine du Nord;Viande de Bovins;animale;42;7.69;3.16;3.13;16;;;0;11;16;;5;;;
Malawi;Huile de Palme;vegetale;4;0.15;0.42;;16;;14;0;16;3;;;;;0
Mali;Racines nda;vegetale;1;1.03;0;0.02;16;;;0;16;16;;;;;
Malte;Viande de Suides;animale;161;34.24;13.61;8.79;16;;2;0;11;15;;6;;;
Maurice;Oignons;vegetale;13;11.74;0.03;0.35;16;;0;0;9;15;2;8;;;
Mexique;Huile d'Olive;vegetale;3;0.13;0.35;;16;;;1;16;16;;0;;;
Mongolie;Boissons Alcooliques;vegetale;37;4.58;;;16;;3;0;1;13;;15;;;0
Monténégro;Edulcorants Autres;vegetale;109;25.43;;;16;;1;0;16;16;;1;;0;
Myanmar;Huil Plantes Oleif Autr;vegetale;1;0.04;0.1;0;16;;14;0;15;2;;;;;1
Norvège;Beurre, Ghee;animale;62;3.17;7.05;0.08;16;;;0;0;16;;16;;;
Norvège;Graines Colza/Moutarde;vegetale;3;0;0;0;16;0;;0;10;1;;6;0;15;1
Népal;Céréales, Autres;vegetale;5;0.57;0.03;0.16;16;;;0;6;16;;10;;;0
Oman;Céréales, Autres;vegetale;35;4.25;0.11;0.97;16;1;0;2;17;15;0;1;0;0;0
Ouganda;Graisses Animales Crue;animale;9;0.43;0.97;0.04;16;;0;0;0;16;;16;;;0
Paraguay;Palmistes;vegetale;;;;;16;;;0;0;;;16;;16;
Paraguay;Pamplemousse;vegetale;1;1.65;0;0.01;16;;;29;1;11;4;44;;;
Pays-Bas;Huile d'Olive;vegetale;21;0.88;2.4;;16;;1;2;18;15;;;;;
Pays-Bas;Viande d'Ovins/Caprins;animale;6;0.94;0.49;0.33;16;;;25;27;16;;14;;;0
Philippines;Beurre, Ghee;animale;3;0.16;0.36;0;16;;;0;16;16;;;;;
Pologne;Bananes plantains;vegetale;1;0.36;0;0.01;16;;;2;17;14;2;;;;
Polynésie française;Viande de Volailles;animale;172;49.55;11.11;16.86;16;;2;0;16;14;;0;;;
Portugal;Viande, Autre;animale;5;1.48;0.21;0.79;16;;;2;12;16;;5;;;0
Royaume-Uni;Millet;vegetale;;;;;16;16;;0;16;;;;;;
Rwanda;Viande de Volailles;animale;4;1.34;0.28;0.45;16;;;;0;16;;16;;;
République centrafricaine;Ananas;vegetale;3;3.1;0.01;0.03;16;;;;0;14;2;16;;;
République centrafricaine;Miel;vegetale;30;3.51;;0.04;16;;;0;0;16;;16;;;
République de Corée;Citrons & Limes;vegetale;0;0.31;0;0;16;;;1;17;15;1;;;;
République dominicaine;Poissons Marins, Autres;animale;1;0.44;0.02;0.11;16;11;0;0;16;5;;0;;;0
République démocratique populaire lao;Poissons Pelagiques;animale;1;0.37;0.05;0.11;16;13;0;;16;3;;;;;
République populaire démocratique de Corée;Abats Comestible;animale;2;0.64;0.06;0.31;16;;;;;16;;16;;;
République populaire démocratique de Corée;Crustacés;animale;1;0.66;0.01;0.18;16;0;0;2;2;16;;16;;;
République populaire démocratique de Corée;Viande d'Ovins/Caprins;animale;3;0.63;0.18;0.26;16;;;;;16;;16;;;
République-Unie de Tanzanie;Viande de Suides;animale;3;0.32;0.34;0.09;16;;;0;2;16;;14;;;
Serbie;Citrons & Limes;vegetale;1;1.71;0.01;0.03;16;;;0;17;16;;;;;
Serbie;Huile de Soja;vegetale;40;1.67;4.57;;16;;0;27;2;16;;41;;;0
Slovaquie;Boissons Fermentés;vegetale;4;2.99;;0.01;16;;;7;24;16;;0;;;
Slovénie;Huile de Soja;vegetale;174;7.24;19.68;0.06;16;;1;2;15;15;;;;0;3
Slovénie;Huile de Tournesol;vegetale;87;3.59;9.84;0;16;;9;27;44;7;;;;0;-1
Tchéquie (la);Ananas;vegetale;2;1.42;0.01;0.01;16;;;3;19;15;0;;;;0
Tchéquie (la);Légumineuses Autres;vegetale;6;0.65;0.03;0.43;16;8;;2;9;7;0;9;0;;0
Thaïlande;Plantes Oleiferes, Autre;vegetale;0;0.02;0;0.01;182;1;;1;7;1;0;176;0;179;0
Timor-Leste;Blé;vegetale;100;13.93;1.37;2.67;16;;;;16;16;0;;;;
Timor-Leste;Fruits, Autres;vegetale;24;14.13;1.27;0.28;16;;;;0;16;0;16;;;
Trinité-et-Tobago;Huile de Soja;vegetale;191;7.9;21.64;;16;;5;0;14;11;;2;;;0
Tunisie;Abats Comestible;animale;4;1.4;0.16;0.63;16;;0;0;1;15;;15;;;
Turkménistan;Maïs;vegetale;0;0.01;;0;16;15;;;0;0;0;16;1;;
Turquie;Pois;vegetale;2;0.19;0.01;0.12;16;;;31;44;14;1;3;0;;0
Ukraine;Olives;vegetale;1;0.36;0.11;0.01;16;;;0;16;16;;;;;
Vanuatu;Bananes;vegetale;92;53.58;0.29;1.17;16;;2;;0;14;0;16;;;
Vanuatu;Poissons Pelagiques;animale;35;14.04;1.81;4.2;16;;12;39;3;4;;52;;;
Venezuela (République bolivarienne du);Crustacés;animale;1;0.53;0.01;0.13;16;;0;12;3;16;;25;;;0
Venezuela (République bolivarienne du);Huile de Coco;vegetale;7;0.27;0.74;0;16;;8;0;0;8;;16;;;0
Venezuela (République bolivarienne du);Pommes;vegetale;1;0.47;0;0;16;;;0;16;14;1;;;;
Zimbabwe;Graines de tournesol;vegetale;1;0.11;0.08;0.04;16;;;0;0;2;0;16;1;13;0
Égypte;Huile de Palmistes;vegetale;5;0.2;0.54;;16;;;0;16;16;;;;;0
Émirats arabes unis;Viande de Suides;animale;;;;;16;;16;0;16;;;;;;
Éthiopie;Boissons Alcooliques;vegetale;1;0.17;;;16;;;2;1;16;;16;;;
Afghanistan;Graisses Animales Crue;animale;12;0.49;1.31;0.01;15;;;;1;15;;14;;;
Afghanistan;Sucre, betterave;vegetale;;;;;15;0;;;;;;15;;15;
Afrique du Sud;Huile d'Arachide;vegetale;5;0.21;0.57;;15;;4;0;0;11;;6;;;10
Allemagne;Piments;vegetale;2;0.18;0.08;0.06;15;;;5;20;15;;;;;
Antigua-et-Barbuda;Lait - Excl Beurre;animale;224;123.74;12.12;12.09;15;0;4;0;9;11;0;6;;;0
Arabie saoudite;Millet;vegetale;5;0.49;0.05;0.14;15;0;;0;10;14;1;4;0;;0
Australie;Thé;vegetale;1;0.64;;0.16;15;;;1;16;15;;;;;0
Bahamas;Pommes;vegetale;21;39.9;0.07;0.08;15;;0;;15;15;0;;;;
Barbade;Pommes de Terre;vegetale;75;49.24;0.14;2.14;15;;1;0;15;14;0;;;;0
Barbade;Viande de Volailles;animale;180;42.62;13.3;14.19;15;;3;0;1;12;;14;;;0
Belgique;Boissons Fermentés;vegetale;2;1.36;;0;15;;;57;8;15;;65;;;0
Belgique;Huile de Coco;vegetale;21;0.84;2.34;0.02;15;;6;87;102;9;;0;;;0
Belgique;Pamplemousse;vegetale;1;1.39;0;0.02;15;;;65;76;15;;;;;4
Belgique;Viande d'Ovins/Caprins;animale;9;1.32;0.81;0.49;15;;;11;24;15;;2;;;
Belize;Sucre Eq Brut;vegetale;405;41.14;;;15;;1;107;0;14;1;118;;;4
Botswana;Riz (Eq Blanchi);vegetale;69;7.06;0.14;1.27;15;;;10;25;14;0;;;0;0
Brunéi Darussalam;Fruits, Autres;vegetale;32;33.63;0.3;0.35;15;;0;1;12;14;0;4;;;
Brésil;Huile de Son de Riz;vegetale;2;0.08;0.21;;15;;;0;0;15;;15;;;
Burkina Faso;Manioc;vegetale;2;0.86;0;0.01;15;0;0;0;11;15;0;4;;;
Bélarus;Pamplemousse;vegetale;1;1.63;0;0.01;15;;;1;16;15;;;;;
Canada;Bananes plantains;vegetale;1;0.43;0;0.01;15;;;;15;15;;;;;
Canada;Viande, Autre;animale;0;0.05;0.01;0.04;15;14;;19;2;2;;32;;;
Chili;Huil Plantes Oleif Autr;vegetale;3;0.05;0.24;0.03;15;;17;9;23;1;;1;;;0
Chili;Patates douces;vegetale;2;0.82;0;0.02;15;;;;1;14;1;14;;;
Chine - RAS de Macao;Bière;vegetale;34;25.53;;0.35;15;;0;0;15;14;;;;;
Croatie;Feve de Cacao;vegetale;74;3.45;6.73;0.79;15;;;6;21;15;;;;;
Côte d'Ivoire;Légumineuses Autres;vegetale;6;0.65;0.04;0.39;15;;;0;0;13;1;15;1;;0
Djibouti;Pommes de Terre;vegetale;31;16.66;0.05;0.73;15;;;;15;15;;;;;0
El Salvador;Café;vegetale;3;2.15;;0.17;15;;;67;11;14;1;47;;;24
Espagne;Huile Graines de Coton;vegetale;8;0.31;0.85;0;15;;1;1;1;15;;16;;;0
Eswatini;Fruits, Autres;vegetale;13;11.97;0.1;0.13;15;;0;1;10;15;0;7;;;0
Fidji;Fruits, Autres;vegetale;16;19.55;0.06;0.18;15;;0;5;12;17;0;8;;;0
Finlande;Huile de Coco;vegetale;0;0;0;0;15;;15;2;17;0;;0;;0;0
Gambie;Huile d'Arachide;vegetale;129;5.33;14.6;;15;;5;0;0;10;;19;;;-4
Grèce;Ananas;vegetale;2;1.38;0;0.01;15;;;1;17;15;;;;;0
Grèce;Huil Plantes Oleif Autr;vegetale;0;0;0;;15;;15;9;18;0;;7;;0;-2
Guatemala;Huile de Tournesol;vegetale;23;0.95;2.6;;15;;;2;17;15;;;;;0
Guinée;Poissons Marins, Autres;animale;2;1.27;0.06;0.39;15;;0;6;0;15;;21;;;
Guinée-Bissau;Viande de Suides;animale;77;9.08;7.21;2.88;15;;;;0;15;;15;;;
Guyana;Bananes plantains;vegetale;33;15.2;0.04;0.33;15;2;;0;0;12;2;15;;;
Géorgie;Bananes;vegetale;6;3.48;0.03;0.07;15;;;0;15;15;;;;;
Haïti;Oignons;vegetale;2;1.35;0.01;0.05;15;;;;8;14;2;8;;;
Iran (République islamique d');Coco (Incl Coprah);vegetale;1;0.2;0.07;0.01;15;;0;0;15;15;;;;;
Irlande;Abats Comestible;animale;11;3.2;0.39;1.36;15;1;0;74;4;15;;85;;;0
